site,microsite,week,rep,animal,captures,n,rate
Mojave,buckhorn,3,27,kangaroo rat,3,3,1
Mojave,buckhorn,3,27,lizard,2,2,1
Mojave,buckhorn,3,27,none,0,3452,0
Mojave,buckhorn,3,28,bird,4,4,1
Mojave,buckhorn,3,28,cottontail,65,65,1
Mojave,buckhorn,3,28,ground squirrel,7,7,1
Mojave,buckhorn,3,28,jackrabbit,2,2,1
Mojave,buckhorn,3,28,kangaroo rat,2,2,1
Mojave,buckhorn,3,28,lizard,1,1,1
Mojave,buckhorn,3,28,none,0,3459,0
Mojave,buckhorn,3,28,unknown,3,3,1
Mojave,buckhorn,3,32,none,0,3,0
Mojave,larrea,1,2,bird,1,1,1
Mojave,larrea,1,2,cottontail,3,3,1
Mojave,larrea,1,2,jackrabbit,5,5,1
Mojave,larrea,1,2,kangaroo rat,9,9,1
Mojave,larrea,1,2,none,0,3473,0
Mojave,larrea,1,2,unknown,3,3,1
Mojave,larrea,1,4,bird,2,2,1
Mojave,larrea,1,4,cottontail,4,4,1
Mojave,larrea,1,4,kangaroo rat,44,44,1
Mojave,larrea,1,4,lizard,1,1,1
Mojave,larrea,1,4,none,0,251,0
Mojave,larrea,1,4,unknown,4,4,1
Mojave,larrea,1,5,bird,1,1,1
Mojave,larrea,1,5,chipmunk,2,2,1
Mojave,larrea,1,5,cottontail,6,6,1
Mojave,larrea,1,5,jackrabbit,2,2,1
Mojave,larrea,1,5,kangaroo rat,10,10,1
Mojave,larrea,1,5,lizard,3,3,1
Mojave,larrea,1,5,none,0,127,0
Mojave,larrea,1,5,rabbit,1,1,1
Mojave,larrea,1,5,unknown,8,8,1
Mojave,larrea,1,10,cottontail,4,4,1
Mojave,larrea,1,10,jackrabbit,5,5,1
Mojave,larrea,1,10,none,0,4345,0
Mojave,larrea,1,10,unknown,1,1,1
Mojave,larrea,1,13,none,0,4368,0
Mojave,larrea,1,14,bird,1,1,1
Mojave,larrea,1,14,chipmunk,1,1,1
Mojave,larrea,1,14,cottontail,5,5,1
Mojave,larrea,1,14,jackrabbit,3,3,1
Mojave,larrea,1,14,kangaroo rat,25,25,1
Mojave,larrea,1,14,lizard,1,1,1
Mojave,larrea,1,14,none,0,2011,0
Mojave,larrea,1,14,unknown,11,11,1
Mojave,larrea,1,15,bird,1,1,1
Mojave,larrea,1,15,chipmunk,4,4,1
Mojave,larrea,1,15,cottontail,9,9,1
Mojave,larrea,1,15,jackrabbit,37,37,1
Mojave,larrea,1,15,none,0,362,0
Mojave,larrea,1,15,unknown,23,23,1
Mojave,larrea,1,16,cottontail,4,4,1
